City,Country,WikidataEntityId,WikidataLongitude,WikidataLatitude,AverageTemperature
Brisbane,Australia,Q34932,153.02777,-27.467777,21.275
Melbourne,Australia,Q3141,144.96306,-37.814167,14.913337
Sydney,Australia,Q3130,151.21,-33.86778,18.304165
Belem,Brazil,Q12829733,-48.503887,-1.4558333,28.089172
Belo Horizonte,Brazil,Q42800,-43.941944,-19.928055,21.757498
Brasilia,Brazil,Q2844,-47.88278,-15.793889,22.673328
Cuiaba,Brazil,Q170762,-56.096943,-15.595834,27.156666
Curitiba,Brazil,Q4361,-49.271946,-25.429722,18.480833
Fortaleza,Brazil,Q43463,-38.5275,-3.7275,26.97583
Goiania,Brazil,Q83189,-49.25639,-16.680555,24.625004
Joao Pessoa,Brazil,Q167436,-34.88,-7.12,25.834997
Maceio,Brazil,Q168888,-35.735,-9.665833,25.547506
Manaus,Brazil,Q40236,-60.021667,-3.1188889,28.512505
Natal,Brazil,Q131620,-35.20889,-5.795,26.512499
Porto Alegre,Brazil,Q40269,-51.23,-30.032778,20.184166
Recife,Brazil,Q48344,-34.880833,-8.053889,25.857502
Salvador,Brazil,Q36947,-38.49278,-12.983055,25.798334
Sao Luis,Brazil,Q28441,-44.302776,-2.53,27.942507
Sao Paulo,Brazil,Q174,-46.633945,-23.550394,20.625
Teresina,Brazil,Q165341,-42.8042,-5.0949,28.247494
Vitoria,Brazil,Q168376,-40.297222,-20.310556,25.444174
Abbotsford,Canada,Q271730,-122.328,49.05461,9.0
Calgary,Canada,Q36312,-114.066666,51.05,3.6666658
Edmonton,Canada,Q2096,-113.5,53.533333,3.0558333
Halifax,Canada,Q2141,-63.57139,44.647778,7.1633325
Hamilton,Canada,Q133116,-79.86916,43.256668,9.302501
Kingston,Canada,Q202973,-76.5,44.233334,8.3358345
Kitchener-Waterloo,Canada,Q16801136,-80.4,43.4,8.471666
London Ontario,Canada,Q92561,-81.2497,42.9837,8.930833
Montreal,Canada,Q340,-73.56167,45.50889,6.608334
Ottawa,Canada,Q1930,-75.695,45.42472,6.9841657
Regina,Canada,Q2123,-104.60667,50.454723,3.5275002
Sudbury,Canada,Q383434,-81.01,46.49,5.213333
Saint John NB,Canada,Q203403,-66.0628,45.2796,6.183335
